record_id,date,month,site,shift,orders_due,on_time_orders,late_orders,units_shipped,rework_orders,planned_hours,regular_hours,overtime_hours,complex_orders,standard_hours,downtime_minutes,capacity_late,rework_late,stock_late,carrier_late,other_late
20250711-S-PM,2025-07-11,2025-07,South,PM,196,180,16,840,8,45.0,42.1,0,86,38.0,60,7,1,2,1,5
20250714-N-AM,2025-07-14,2025-07,North,AM,189,183,6,597,8,52.5,48.5,1.6,35,31.85,0,1,2,1,0,2
20250714-N-PM,2025-07-14,2025-07,North,PM,264,260,4,865,7,52.5,50.4,2.6,43,43.9,0,2,1,1,0,0
20250714-S-AM,2025-07-14,2025-07,South,AM,244,210,34,895,9,45.0,40.6,2.2,99,46.5,0,19,8,3,0,4
20250714-S-PM,2025-07-14,2025-07,South,PM,248,219,29,875,10,45.0,40.3,3.6,79,45.1,0,12,10,2,2,3
20250715-N-AM,2025-07-15,2025-07,North,AM,202,196,6,630,2,52.5,46.7,1.8,34,33.7,0,0,1,1,1,3
20250715-N-PM,2025-07-15,2025-07,North,PM,231,227,4,607,2,52.5,50.9,3.0,26,37.25,0,0,0,3,0,1
20250715-S-AM,2025-07-15,2025-07,South,AM,225,209,16,852,5,45.0,40.4,3.0,61,39.85,35,8,1,2,3,2
20250715-S-PM,2025-07-15,2025-07,South,PM,214,206,8,710,1,45.0,41.1,0,56,37.7,0,4,1,1,0,2
20250716-N-AM,2025-07-16,2025-07,North,AM,190,185,5,628,7,52.5,50.3,0.8,46,33.1,0,1,1,2,1,0
20250716-N-PM,2025-07-16,2025-07,North,PM,247,226,21,610,5,52.5,46.8,1.6,21,39.15,10,2,3,2,13,1
20250716-S-AM,2025-07-16,2025-07,South,AM,259,226,33,858,4,45.0,42.1,1.2,94,48.25,60,18,4,3,2,6
20250716-S-PM,2025-07-16,2025-07,South,PM,182,175,7,679,9,45.0,40.8,2.9,67,34.0,0,0,5,1,0,1
20250717-N-AM,2025-07-17,2025-07,North,AM,170,160,10,637,3,52.5,47.8,1.1,44,29.9,60,2,3,4,0,1
20250717-N-PM,2025-07-17,2025-07,North,PM,190,184,6,689,3,52.5,47.0,0.0,46,33.1,10,2,3,1,0,0
20250717-S-AM,2025-07-17,2025-07,South,AM,233,217,16,921,6,45.0,39.5,0,74,42.35,10,8,2,2,0,4
20250717-S-PM,2025-07-17,2025-07,South,PM,215,203,12,780,4,45.0,43.9,1.4,101,42.35,0,4,4,2,0,2
20250718-N-AM,2025-07-18,2025-07,North,AM,270,250,20,691,9,52.5,47.7,0.9,38,44.3,35,1,9,3,2,5
20250718-N-PM,2025-07-18,2025-07,North,PM,217,199,18,707,4,52.5,48.5,2.2,71,39.65,35,6,4,2,2,4
20250718-S-AM,2025-07-18,2025-07,South,AM,160,156,4,487,1,45.0,43.0,1.3,36,27.6,20,1,1,0,1,1
20250718-S-PM,2025-07-18,2025-07,South,PM,198,191,7,630,4,45.0,43.2,3.8,66,36.3,10,0,1,4,0,2
20250721-N-AM,2025-07-21,2025-07,North,AM,330,300,30,1162,10,52.5,46.6,0.1,88,58.3,0,17,10,2,1,0
20250721-N-PM,2025-07-21,2025-07,North,PM,201,177,24,628,5,52.5,47.9,1.3,38,33.95,60,3,5,9,2,5
20250721-S-AM,2025-07-21,2025-07,South,AM,203,199,4,639,1,45.0,42.8,0.9,59,36.35,0,1,1,1,0,1
20250721-S-PM,2025-07-21,2025-07,South,PM,235,222,13,691,6,45.0,42.3,1.9,60,41.25,0,8,1,2,1,1
20250722-N-AM,2025-07-22,2025-07,North,AM,252,227,25,745,8,52.5,46.8,0,60,43.8,20,8,7,6,2,2
20250722-N-PM,2025-07-22,2025-07,North,PM,262,250,12,723,6,52.5,49.0,0,38,43.1,20,3,6,2,0,1
20250722-S-AM,2025-07-22,2025-07,South,AM,167,162,5,562,5,45.0,42.9,2.8,62,31.25,0,0,2,2,0,1
20250722-S-PM,2025-07-22,2025-07,South,PM,188,167,21,732,4,45.0,41.4,2.4,61,34.3,0,3,4,2,11,1
20250723-N-AM,2025-07-23,2025-07,North,AM,210,202,8,577,3,52.5,49.0,1.8,31,34.6,0,1,3,2,1,1
20250723-N-PM,2025-07-23,2025-07,North,PM,199,193,6,578,1,52.5,47.4,1.6,33,33.15,10,1,1,1,1,2
20250723-S-AM,2025-07-23,2025-07,South,AM,170,170,0,575,2,45.0,40.0,1.3,47,30.2,0,0,0,0,0,0
20250723-S-PM,2025-07-23,2025-07,South,PM,223,202,21,789,11,45.0,40.7,1.5,96,43.05,10,7,8,2,1,3
20250724-N-AM,2025-07-24,2025-07,North,AM,205,194,11,600,3,52.5,48.9,2.7,39,34.65,35,0,3,4,1,3
20250724-N-PM,2025-07-24,2025-07,North,PM,265,240,25,764,4,52.5,47.4,2.0,71,46.85,35,7,4,5,4,5
20250724-S-AM,2025-07-24,2025-07,South,AM,189,173,16,663,5,45.0,42.5,2.9,61,34.45,35,2,5,3,2,4
20250724-S-PM,2025-07-24,2025-07,South,PM,204,199,5,622,3,45.0,39.0,2.0,46,35.2,10,0,2,1,0,2
20250725-N-AM,2025-07-25,2025-07,North,AM,254,226,28,796,3,52.5,46.7,2.0,59,44.0,60,13,3,3,2,7
20250725-N-PM,2025-07-25,2025-07,North,PM,206,186,20,551,7,52.5,49.3,2.2,44,35.3,35,3,6,4,7,0
20250725-S-AM,2025-07-25,2025-07,South,AM,229,216,13,758,6,45.0,39.9,1.9,63,40.65,10,6,2,3,1,1
20250725-S-PM,2025-07-25,2025-07,South,PM,198,188,10,647,6,45.0,43.8,0,63,36.0,60,1,2,5,0,2
20250728-N-AM,2025-07-28,2025-07,North,AM,267,255,12,938,6,52.5,49.8,0.3,50,45.05,0,2,5,3,0,2
20250728-N-PM,2025-07-28,2025-07,North,PM,314,284,30,944,9,52.5,51.1,0.5,65,53.6,35,8,9,4,2,7
20250728-S-AM,2025-07-28,2025-07,South,AM,242,225,17,901,2,45.0,43.9,1.9,74,43.7,20,11,2,2,0,2
20250728-S-PM,2025-07-28,2025-07,South,PM,210,196,14,823,5,45.0,42.7,0,76,39.1,20,4,4,2,0,4
20250729-N-AM,2025-07-29,2025-07,North,AM,237,220,17,719,6,52.5,48.2,2.2,61,41.65,60,2,6,4,0,5
20250729-N-PM,2025-07-29,2025-07,North,PM,278,259,19,813,13,52.5,50.2,2.8,59,47.6,0,6,8,2,1,2
20250729-S-AM,2025-07-29,2025-07,South,AM,183,180,3,659,5,45.0,42.3,2.0,58,33.25,0,1,0,1,1,0
20250729-S-PM,2025-07-29,2025-07,South,PM,175,161,14,674,8,45.0,39.6,1.6,66,32.85,10,4,4,2,2,2
20250730-N-AM,2025-07-30,2025-07,North,AM,242,237,5,773,4,52.5,48.3,0.3,39,40.2,0,1,0,2,1,1
20250730-N-PM,2025-07-30,2025-07,North,PM,235,231,4,604,7,52.5,49.6,2.1,19,37.15,0,0,2,1,1,0
20250730-S-AM,2025-07-30,2025-07,South,AM,186,182,4,635,4,45.0,40.0,0.2,65,34.4,10,1,1,1,0,1
20250730-S-PM,2025-07-30,2025-07,South,PM,212,200,12,853,5,45.0,40.9,3.0,83,40.1,0,6,1,3,0,2
20250731-N-AM,2025-07-31,2025-07,North,AM,220,213,7,639,7,52.5,50.3,0.9,54,38.4,0,1,2,0,3,1
20250731-N-PM,2025-07-31,2025-07,North,PM,220,198,22,653,2,52.5,47.3,1.3,45,37.5,0,2,2,2,12,4
20250731-S-AM,2025-07-31,2025-07,South,AM,181,174,7,703,6,45.0,41.6,2.7,75,34.65,0,1,3,2,1,0
20250731-S-PM,2025-07-31,2025-07,South,PM,167,165,2,575,3,45.0,42.8,2.2,69,31.95,0,0,1,0,1,0
20250801-N-AM,2025-08-01,2025-08,North,AM,267,253,14,824,9,52.5,46.6,2.2,61,46.15,10,6,4,1,2,1
20250801-N-PM,2025-08-01,2025-08,North,PM,213,210,3,721,4,52.5,50.4,0,52,37.15,0,0,1,1,0,1
20250801-S-AM,2025-08-01,2025-08,South,AM,165,163,2,597,4,45.0,42.8,1.6,64,31.15,0,1,0,0,0,1
20250801-S-PM,2025-08-01,2025-08,South,PM,249,217,32,869,8,45.0,39.8,1.6,79,45.25,60,19,6,3,2,2
20250804-N-AM,2025-08-04,2025-08,North,AM,245,227,18,781,6,52.5,46.9,0.9,53,42.05,60,9,2,3,0,4
20250804-N-PM,2025-08-04,2025-08,North,PM,239,234,5,868,11,52.5,50.6,2.9,61,41.95,20,1,2,2,0,0
20250804-S-AM,2025-08-04,2025-08,South,AM,194,183,11,792,6,45.0,42.5,0.2,72,36.3,60,2,2,3,2,2
20250804-S-PM,2025-08-04,2025-08,South,PM,235,214,21,841,4,45.0,42.4,0,81,43.35,0,8,3,5,2,3
20250805-N-AM,2025-08-05,2025-08,North,AM,202,198,4,702,3,52.5,47.9,3.2,32,33.5,0,0,0,3,0,1
20250805-N-PM,2025-08-05,2025-08,North,PM,242,237,5,707,7,52.5,46.8,0.9,50,41.3,10,0,2,0,1,2
20250805-S-AM,2025-08-05,2025-08,South,AM,186,179,7,582,4,45.0,40.8,1.9,55,33.4,0,2,1,3,1,0
20250805-S-PM,2025-08-05,2025-08,South,PM,223,200,23,806,10,45.0,41.0,0.9,109,44.35,20,12,4,3,0,4
20250806-N-AM,2025-08-06,2025-08,North,AM,227,224,3,782,6,52.5,48.1,1.0,76,41.65,0,0,2,0,0,1
20250806-N-PM,2025-08-06,2025-08,North,PM,193,185,8,571,5,52.5,48.0,1.8,38,32.75,0,2,2,4,0,0
20250806-S-AM,2025-08-06,2025-08,South,AM,231,208,23,885,7,45.0,43.7,0,81,42.75,60,8,7,6,2,0
20250806-S-PM,2025-08-06,2025-08,South,PM,234,216,18,826,8,45.0,39.5,0.7,49,40.0,10,5,6,3,2,2
20250807-N-AM,2025-08-07,2025-08,North,AM,204,201,3,566,1,52.5,50.7,0.8,17,32.3,0,0,0,2,1,0
20250807-N-PM,2025-08-07,2025-08,North,PM,274,258,16,731,5,52.5,48.8,2.7,48,45.9,10,3,4,6,0,3
20250807-S-AM,2025-08-07,2025-08,South,AM,191,184,7,503,7,45.0,41.7,0.2,33,31.95,20,0,3,2,2,0
20250807-S-PM,2025-08-07,2025-08,South,PM,229,221,8,731,7,45.0,42.5,2.9,52,39.55,0,2,2,3,1,0
20250808-N-AM,2025-08-08,2025-08,North,AM,216,205,11,648,9,52.5,48.3,1.0,67,39.1,60,1,3,2,2,3
20250808-N-PM,2025-08-08,2025-08,North,PM,217,213,4,526,1,52.5,50.7,1.9,21,34.65,0,0,1,2,1,0
20250808-S-AM,2025-08-08,2025-08,South,AM,204,197,7,669,6,45.0,42.3,1.1,68,37.4,20,0,4,0,0,3
20250808-S-PM,2025-08-08,2025-08,South,PM,207,197,10,688,9,45.0,40.3,3.9,61,37.15,0,3,2,2,1,2
20250811-N-AM,2025-08-11,2025-08,North,AM,253,245,8,808,3,52.5,50.7,2.0,74,45.35,0,1,1,2,1,3
20250811-N-PM,2025-08-11,2025-08,North,PM,250,234,16,958,4,52.5,48.0,1.9,70,44.5,35,5,2,5,0,4
20250811-S-AM,2025-08-11,2025-08,South,AM,268,221,47,1042,8,45.0,40.6,2.3,109,51.1,35,30,6,6,2,3
20250811-S-PM,2025-08-11,2025-08,South,PM,185,179,6,716,3,45.0,43.0,1.5,61,33.85,60,1,0,2,1,2
20250812-N-AM,2025-08-12,2025-08,North,AM,232,225,7,668,2,52.5,46.9,2.1,60,40.8,10,2,2,1,1,1
20250812-N-PM,2025-08-12,2025-08,North,PM,210,208,2,574,4,52.5,49.4,1.3,17,33.2,10,0,1,1,0,0
20250812-S-AM,2025-08-12,2025-08,South,AM,242,209,33,853,6,45.0,39.5,1.8,84,44.7,10,18,6,3,3,3
20250812-S-PM,2025-08-12,2025-08,South,PM,181,167,14,564,8,45.0,40.8,0.6,66,33.75,60,1,6,5,1,1
20250813-N-AM,2025-08-13,2025-08,North,AM,244,231,13,621,6,52.5,49.6,3.3,40,40.6,35,0,6,2,3,2
20250813-N-PM,2025-08-13,2025-08,North,PM,261,236,25,757,3,52.5,49.8,3.0,48,43.95,0,5,3,3,12,2
20250813-S-AM,2025-08-13,2025-08,South,AM,264,238,26,914,4,45.0,43.1,1.7,54,45.0,10,10,4,5,1,6
20250813-S-PM,2025-08-13,2025-08,South,PM,195,186,9,797,3,45.0,41.1,1.4,92,38.45,60,3,0,4,0,2
20250814-N-AM,2025-08-14,2025-08,North,AM,265,246,19,719,6,52.5,47.7,3.4,60,45.75,35,9,4,3,0,3
20250814-N-PM,2025-08-14,2025-08,North,PM,223,222,1,635,3,52.5,49.9,2.3,21,35.55,0,0,0,1,0,0
20250814-S-AM,2025-08-14,2025-08,South,AM,241,204,37,950,5,45.0,39.3,0,77,43.85,60,18,5,4,2,8
20250814-S-PM,2025-08-14,2025-08,South,PM,194,182,12,640,3,45.0,40.0,0.7,71,36.2,10,4,1,4,1,2
20250815-N-AM,2025-08-15,2025-08,North,AM,237,228,9,766,2,52.5,50.1,1.9,47,40.25,20,2,2,3,2,0
20250815-N-PM,2025-08-15,2025-08,North,PM,215,205,10,813,8,52.5,48.4,0.8,61,38.35,0,2,3,2,0,3
20250815-S-AM,2025-08-15,2025-08,South,AM,196,186,10,773,4,45.0,41.7,2.2,63,35.7,35,3,3,3,1,0
20250815-S-PM,2025-08-15,2025-08,South,PM,194,189,5,790,6,45.0,39.4,3.7,74,36.5,10,2,1,1,0,1
20250818-N-AM,2025-08-18,2025-08,North,AM,259,248,11,632,5,52.5,50.0,0,30,41.85,10,2,4,3,2,0
20250818-N-PM,2025-08-18,2025-08,North,PM,216,206,10,700,1,52.5,50.2,1.4,39,36.3,10,3,1,1,1,4
20250818-S-AM,2025-08-18,2025-08,South,AM,236,230,6,763,6,45.0,43.1,3.6,82,43.6,0,4,1,1,0,0
20250818-S-PM,2025-08-18,2025-08,South,PM,278,251,27,947,11,45.0,43.5,3.0,77,49.4,60,16,7,1,2,1
20250819-N-AM,2025-08-19,2025-08,North,AM,215,211,4,707,1,52.5,48.4,2.6,24,34.65,35,0,1,1,1,1
20250819-N-PM,2025-08-19,2025-08,North,PM,194,173,21,490,2,52.5,51.4,2.8,29,32.0,20,0,1,4,15,1
20250819-S-AM,2025-08-19,2025-08,South,AM,247,226,21,943,4,45.0,42.4,0.1,93,46.35,0,12,2,3,2,2
20250819-S-PM,2025-08-19,2025-08,South,PM,182,177,5,560,4,45.0,40.8,1.8,62,33.5,20,0,3,0,0,2
20250820-N-AM,2025-08-20,2025-08,North,AM,231,223,8,756,8,52.5,50.5,0,53,39.95,20,0,4,2,1,1
20250820-N-PM,2025-08-20,2025-08,North,PM,217,210,7,608,5,52.5,47.4,0.4,39,36.45,35,0,3,2,1,1
20250820-S-AM,2025-08-20,2025-08,South,AM,190,182,8,727,5,45.0,39.4,0.8,54,33.9,35,4,1,2,0,1
20250820-S-PM,2025-08-20,2025-08,South,PM,208,193,15,678,3,45.0,39.8,0.8,84,39.6,0,8,2,2,1,2
20250821-N-AM,2025-08-21,2025-08,North,AM,247,237,10,653,5,52.5,49.9,0,47,41.75,60,0,4,3,2,1
20250821-N-PM,2025-08-21,2025-08,North,PM,234,206,28,792,5,52.5,46.9,2.5,54,40.5,10,4,2,3,18,1
20250821-S-AM,2025-08-21,2025-08,South,AM,163,147,16,574,4,45.0,43.0,1.6,44,28.85,0,1,3,1,9,2
20250821-S-PM,2025-08-21,2025-08,South,PM,204,192,12,657,3,45.0,42.6,3.8,70,37.6,60,6,0,2,2,2
20250822-N-AM,2025-08-22,2025-08,North,AM,246,238,8,681,4,52.5,49.8,1.2,37,40.6,0,2,0,3,1,2
20250822-N-PM,2025-08-22,2025-08,North,PM,279,265,14,957,6,52.5,51.1,0.9,65,48.35,0,5,3,4,1,1
20250822-S-AM,2025-08-22,2025-08,South,AM,245,221,24,742,2,45.0,41.2,2.5,76,44.35,0,13,2,4,0,5
20250822-S-PM,2025-08-22,2025-08,South,PM,213,201,12,802,5,45.0,39.6,1.4,72,39.15,0,5,3,2,1,1
20250825-N-AM,2025-08-25,2025-08,North,AM,250,235,15,891,3,52.5,50.1,0.7,50,42.5,0,2,3,6,3,1
20250825-N-PM,2025-08-25,2025-08,North,PM,213,207,6,638,3,52.5,48.6,0,31,35.05,0,1,0,2,0,3
20250825-S-AM,2025-08-25,2025-08,South,AM,188,182,6,669,6,45.0,42.5,0,58,34.0,35,1,4,1,0,0
20250825-S-PM,2025-08-25,2025-08,South,PM,214,206,8,661,5,45.0,43.6,0.4,77,39.8,0,3,2,1,0,2
20250826-N-AM,2025-08-26,2025-08,North,AM,191,183,8,728,4,52.5,48.2,0.8,57,34.35,20,2,2,2,1,1
20250826-N-PM,2025-08-26,2025-08,North,PM,251,222,29,824,3,52.5,48.7,1.1,58,43.45,20,1,3,3,13,9
20250826-S-AM,2025-08-26,2025-08,South,AM,209,202,7,802,4,45.0,40.5,0.7,68,38.15,0,1,3,2,0,1
20250826-S-PM,2025-08-26,2025-08,South,PM,248,224,24,809,4,45.0,42.4,1.2,68,44.0,60,14,4,2,0,4
20250827-N-AM,2025-08-27,2025-08,North,AM,244,239,5,788,3,52.5,48.9,1.0,46,41.2,0,1,1,3,0,0
20250827-N-PM,2025-08-27,2025-08,North,PM,214,205,9,565,3,52.5,50.1,0.8,39,36.0,35,2,2,2,1,2
20250827-S-AM,2025-08-27,2025-08,South,AM,208,197,11,775,7,45.0,40.2,2.1,70,38.2,0,3,2,3,1,2
20250827-S-PM,2025-08-27,2025-08,South,PM,229,211,18,763,8,45.0,43.1,2.7,79,42.25,35,7,6,1,2,2
20250828-N-AM,2025-08-28,2025-08,North,AM,251,234,17,810,11,52.5,48.2,0,57,43.35,35,7,7,3,0,0
20250828-N-PM,2025-08-28,2025-08,North,PM,288,277,11,910,5,52.5,46.8,1.5,23,45.5,0,3,3,4,0,1
20250828-S-AM,2025-08-28,2025-08,South,AM,212,209,3,720,13,45.0,43.0,3.6,89,40.7,0,0,1,1,1,0
20250828-S-PM,2025-08-28,2025-08,South,PM,223,205,18,852,6,45.0,42.8,1.2,103,43.75,10,7,5,2,2,2
20250829-N-AM,2025-08-29,2025-08,North,AM,223,209,14,704,7,52.5,46.8,1.9,46,38.05,35,1,4,2,1,6
20250829-N-PM,2025-08-29,2025-08,North,PM,206,203,3,718,4,52.5,50.0,3.7,60,36.9,20,1,0,2,0,0
20250829-S-AM,2025-08-29,2025-08,South,AM,191,175,16,733,2,45.0,41.0,1.6,57,34.35,20,1,1,1,11,2
20250829-S-PM,2025-08-29,2025-08,South,PM,211,192,19,685,2,45.0,42.7,2.8,49,36.55,20,2,2,1,13,1
20250901-N-AM,2025-09-01,2025-09,North,AM,279,262,17,821,6,52.5,47.7,2.3,63,48.15,10,7,6,1,0,3
20250901-N-PM,2025-09-01,2025-09,North,PM,257,241,16,793,5,52.5,50.6,0.1,89,47.45,0,6,3,3,1,3
20250901-S-AM,2025-09-01,2025-09,South,AM,250,221,29,788,11,45.0,42.4,3.1,87,46.2,0,10,11,4,2,2
20250901-S-PM,2025-09-01,2025-09,South,PM,249,191,58,997,8,45.0,30.9,4.4,96,46.95,0,44,4,5,1,4
20250902-N-AM,2025-09-02,2025-09,North,AM,198,192,6,534,1,52.5,49.2,0,45,34.2,35,0,1,1,1,3
20250902-N-PM,2025-09-02,2025-09,North,PM,228,223,5,702,2,52.5,50.4,0.5,29,37.1,20,1,1,0,1,2
20250902-S-AM,2025-09-02,2025-09,South,AM,241,220,21,836,7,45.0,42.0,0.8,95,45.65,0,7,7,3,0,4
20250902-S-PM,2025-09-02,2025-09,South,PM,228,187,41,1031,14,45.0,34.0,6.1,120,46.2,35,20,10,3,2,6
20250903-N-AM,2025-09-03,2025-09,North,AM,242,237,5,869,14,52.5,48.5,0,57,42.0,0,1,3,0,0,1
20250903-N-PM,2025-09-03,2025-09,North,PM,164,156,8,434,5,52.5,48.3,1.4,32,27.8,0,1,2,3,0,2
20250903-S-AM,2025-09-03,2025-09,South,AM,203,195,8,789,2,45.0,39.2,2.3,66,37.05,10,3,1,1,1,2
20250903-S-PM,2025-09-03,2025-09,South,PM,220,192,28,800,8,45.0,30.8,3.3,77,40.7,0,15,5,2,3,3
20250904-N-AM,2025-09-04,2025-09,North,AM,208,188,20,612,4,52.5,48.6,0.6,44,35.6,20,1,3,1,14,1
20250904-N-PM,2025-09-04,2025-09,North,PM,190,180,10,602,3,52.5,49.3,0,37,32.2,35,0,3,3,0,4
20250904-S-AM,2025-09-04,2025-09,South,AM,247,218,29,789,5,45.0,42.2,0.9,70,44.05,0,15,5,3,0,6
20250904-S-PM,2025-09-04,2025-09,South,PM,215,196,19,738,6,45.0,30.7,4.0,47,36.95,0,8,1,3,2,5
20250905-N-AM,2025-09-05,2025-09,North,AM,260,247,13,817,6,52.5,48.6,3.8,29,41.9,0,3,6,2,0,2
20250905-N-PM,2025-09-05,2025-09,North,PM,251,244,7,694,5,52.5,47.0,1.4,34,41.05,0,4,1,2,0,0
20250905-S-AM,2025-09-05,2025-09,South,AM,299,246,53,916,9,45.0,40.1,2.0,100,54.85,35,40,5,4,1,3
20250905-S-PM,2025-09-05,2025-09,South,PM,189,179,10,653,4,45.0,33.1,3.6,35,31.85,0,5,2,1,1,1
20250908-N-AM,2025-09-08,2025-09,North,AM,277,243,34,903,9,52.5,46.8,2.0,61,47.65,20,19,5,5,2,3
20250908-N-PM,2025-09-08,2025-09,North,PM,218,213,5,709,0,52.5,47.9,0.1,32,35.9,0,1,0,1,1,2
20250908-S-AM,2025-09-08,2025-09,South,AM,238,207,31,802,5,45.0,43.3,2.5,73,43.0,35,5,5,4,12,5
20250908-S-PM,2025-09-08,2025-09,South,PM,251,206,45,838,10,45.0,32.8,0.5,78,45.45,0,25,7,7,4,2
20250909-N-AM,2025-09-09,2025-09,North,AM,195,191,4,444,4,52.5,48.6,0.9,17,30.95,10,1,1,2,0,0
20250909-N-PM,2025-09-09,2025-09,North,PM,231,230,1,646,4,52.5,49.8,0,32,37.85,10,0,0,1,0,0
20250909-S-AM,2025-09-09,2025-09,South,AM,226,211,15,849,6,45.0,41.9,1.0,86,42.5,0,5,5,4,1,0
20250909-S-PM,2025-09-09,2025-09,South,PM,223,203,20,786,9,45.0,34.4,3.3,55,38.95,0,12,5,2,0,1
20250910-N-AM,2025-09-10,2025-09,North,AM,252,243,9,957,4,52.5,49.5,3.0,72,45.0,0,3,1,1,2,2
20250910-N-PM,2025-09-10,2025-09,North,PM,237,227,10,735,6,52.5,51.1,1.8,19,37.45,35,1,1,3,3,2
20250910-S-AM,2025-09-10,2025-09,South,AM,170,163,7,647,3,45.0,42.9,0.8,52,30.7,0,1,1,1,2,2
20250910-S-PM,2025-09-10,2025-09,South,PM,226,189,37,789,7,45.0,32.7,2.9,65,40.4,0,12,2,4,18,1
20250911-N-AM,2025-09-11,2025-09,North,AM,297,279,18,939,7,52.5,51.2,1.7,84,52.95,0,9,3,3,0,3
